X,Y
4.0186,15.3073
4.0500,15.3385
4.0814,15.9896
4.1128,16.7396
4.1441,17.1458
4.1755,17.0156
4.2069,16.4896
4.2383,15.8229
4.2697,15.1354
4.3011,14.9583
4.3325,15.6510
4.3639,16.3177
4.3953,16.9427
4.4267,17.3802
4.4581,16.6146
4.4895,15.6198
4.5209,15.7760
4.5523,15.8854
4.5837,16.5833
4.6151,17.1510
4.6465,17.3958
4.6779,18.1771
4.7093,18.9375
4.7407,18.6927
4.7720,18.8385
4.8034,18.8802
4.8348,18.5625
4.8662,17.8958
4.8976,17.7552
4.9290,18.0417
4.9604,17.9792
4.9918,17.4531
5.0232,17.1510
5.0546,17.0417
5.0860,17.3385
5.1174,17.8021
5.1488,18.7917
5.1802,19.5104
5.2116,20.1719
5.2430,20.5260
5.2744,20.6979
5.3058,20.1979
5.3372,19.3646
5.3686,18.2083
5.3999,17.3802
5.4313,16.8177
5.4627,16.5469
5.4941,16.3125
5.5255,16.8229
5.5569,16.6146
5.5883,17.9062
5.6197,18.8125
5.6511,19.8177
5.6825,21.1823
5.7139,21.8438
5.7453,21.8073
5.7767,21.0573
5.8081,20.2240
5.8395,20.5312
5.8709,20.3125
5.9023,20.4219
5.9337,22.5573
5.9651,25.3021
5.9965,26.7812
6.0278,27.5208
6.0592,26.2500
6.0906,24.0104
6.1220,22.4375
6.1534,22.6615
6.1848,22.9167
6.2162,23.0260
6.2476,23.2083
6.2790,23.0104
6.3104,23.7969
6.3418,24.4635
6.3732,24.0885
6.4046,23.5938
6.4360,22.4531
6.4674,21.1198
6.4988,20.7812
6.5302,21.7604
6.5616,22.4167
6.5930,24.3490
6.6244,26.4219
6.6557,27.0781
6.6871,27.2135
6.7185,27.2708
6.7499,26.2031
6.7813,24.6146
6.8127,24.3594
6.8441,25.1042
6.8755,24.8906
6.9069,24.9479
6.9383,25.5208
6.9697,25.5469
7.0011,25.9062
7.0325,25.6719
7.0639,25.8594
7.0953,26.4635
7.1267,26.8594
7.1581,26.2448
7.1895,25.0469
7.2209,23.7812
7.2523,22.4531
7.2837,21.9375
7.3150,21.3281
7.3464,20.7135
7.3778,20.6875
7.4092,21.2396
7.4406,21.0260
7.4720,20.9531
7.5034,21.1719
7.5348,19.5729
7.5662,18.8646
7.5976,18.5521
7.6290,18.5417
7.6604,19.2500
7.6918,19.6198
7.7232,20.8229
7.7546,23.2969
7.7860,25.8594
7.8174,27.4115
7.8488,27.3490
7.8802,25.8802
7.9116,22.8229
7.9429,20.1146
7.9743,21.0365
8.0057,22.8698
8.0371,24.0729
8.0685,25.8073
8.0999,26.8385
8.1313,26.4062
8.1627,25.5677
8.1941,23.4427
8.2255,21.7552
8.2569,22.5677
8.2883,25.1146
8.3197,27.4896
8.3511,28.1562
8.3825,26.4740
8.4139,24.2292
8.4453,21.6562
8.4767,20.8646
8.5081,21.3542
8.5395,22.1354
8.5708,22.5208
8.6022,22.7031
8.6336,22.5938
8.6650,22.6771
8.6964,22.6302
8.7278,22.8125
8.7592,23.2135
8.7906,23.4427
8.8220,23.8229
8.8534,23.8490
8.8848,23.6146
8.9162,24.6927
8.9476,25.5521
8.9790,25.2760
9.0104,24.3125
9.0418,24.1406
9.0732,23.7917
9.1046,22.4167
9.1360,20.1562
9.1674,19.1406
9.1987,19.8646
9.2301,20.8125
9.2615,20.6094
9.2929,20.8646
9.3243,20.9271
9.3557,21.1667
9.3871,21.0729
9.4185,20.8646
9.4499,20.8750
9.4813,21.2031
9.5127,21.0990
9.5441,21.0469
9.5755,20.7656
9.6069,20.2604
9.6383,19.7604
9.6697,19.5573
9.7011,18.9167
9.7325,18.4427
9.7639,18.1667
9.7953,17.7604
9.8266,18.1875
9.8580,19.3802
9.8894,19.9323
9.9208,20.0729
9.9522,19.5156
9.9836,19.1667
10.0150,19.6406
10.0464,19.8125
10.0778,19.7344
10.1092,19.3125
10.1406,19.4167
10.1720,19.7865
10.2034,19.0365
10.2348,18.8750
10.2662,19.8333
10.2976,20.0469
10.3290,20.5365
10.3604,20.7917
10.3918,20.5573
10.4232,20.3542
10.4546,19.8021
10.4859,18.6094
10.5173,17.4583
10.5487,17.2760
10.5801,17.4740
10.6115,18.0573
10.6429,18.6094
10.6743,18.6719
10.7057,18.2135
10.7371,17.9688
10.7685,17.8281
10.7999,16.8073
10.8313,16.3333
10.8627,16.7500
10.8941,17.9896
10.9255,18.8229
10.9569,18.9427
10.9883,18.4010
11.0197,17.8438
11.0511,17.8229
11.0825,17.5208
11.1138,17.7917
11.1452,18.1719
11.1766,17.9479
11.2080,17.9688
11.2394,18.3594
11.2708,18.7031
11.3022,18.6406
11.3336,18.2760
11.3650,18.3958
11.3964,18.8385
11.4278,18.8906
11.4592,18.5000
11.4906,18.3542
11.5220,18.3021
11.5534,18.2708
11.5848,18.6510
11.6162,18.6771
11.6476,18.8698
11.6790,19.6094
11.7104,19.7240
11.7417,19.8958
11.7731,20.4531
11.8045,20.5052
11.8359,19.7083
11.8673,19.3750
11.8987,19.3906
11.9301,19.2031
11.9615,18.8229
11.9929,18.3646
12.0243,17.8594
12.0557,18.1927
12.0871,19.2396
12.1185,19.7240
12.1499,19.2969
12.1813,19.2604
12.2127,19.4375
12.2441,19.1719
12.2755,18.5677
12.3069,18.8542
12.3383,19.8646
12.3696,21.2396
12.4010,21.8438
12.4324,22.2708
12.4638,22.6927
12.4952,22.7969
12.5266,21.9635
12.5580,21.4427
12.5894,21.1719
12.6208,20.7135
12.6522,20.7812
12.6836,21.4531
12.7150,21.2917
12.7464,21.1875
12.7778,21.8906
12.8092,22.0625
